,channel,strength
371,371,0.010705759
130,130,0.007931795
66,66,0.0069621187
411,411,0.0065370337
241,241,0.0061685536
178,178,0.0057360367
422,422,0.0055051707
59,59,0.0054199533
193,193,0.0052992324
405,405,0.00511423
202,202,0.00487821
414,414,0.004596879
347,347,0.0045533227
325,325,0.0042810338
479,479,0.0041018343
234,234,0.003791195
104,104,0.0037741603
437,437,0.0036558367
186,186,0.0036010114
214,214,0.0035913743
472,472,0.0035745492
99,99,0.003559262
13,13,0.003553579
302,302,0.0034689216
428,428,0.0034320198
43,43,0.0032388393
215,215,0.0031643964
346,346,0.0031622355
392,392,0.0031421043
469,469,0.0031391508
185,185,0.0031346607
110,110,0.0031338846
152,152,0.0031238336
255,255,0.0031061403
27,27,0.003093111
494,494,0.0030917446
238,238,0.0030462171
111,111,0.003043536
162,162,0.0030410155
125,125,0.0030364853
51,51,0.0030085724
231,231,0.0029884125
335,335,0.002956904
184,184,0.002923058
80,80,0.0029210225
253,253,0.0029075942
357,357,0.0028416363
180,180,0.0028330602
360,360,0.0027900473
105,105,0.0027881858
33,33,0.0027586774
475,475,0.0027457555
332,332,0.0027370767
220,220,0.0026984583
31,31,0.0026166395
53,53,0.0026120786
106,106,0.0025991872
412,412,0.00259617
382,382,0.0025869396
38,38,0.0025757526
316,316,0.0025433942
389,389,0.0025421656
435,435,0.002534331
225,225,0.002509905
354,354,0.00245047
243,243,0.0024502743
221,221,0.0024180906
218,218,0.0023629142
56,56,0.0023580198
230,230,0.0023460235
8,8,0.0022959905
344,344,0.0022738976
102,102,0.002244589
279,279,0.0022293774
77,77,0.0022287841
404,404,0.0022230886
200,200,0.0022142548
450,450,0.002204902
319,319,0.0021294882
117,117,0.0021246204
6,6,0.0021206948
247,247,0.002117081
297,297,0.0020922043
40,40,0.0020740507
352,352,0.0020036534
239,239,0.0019678425
402,402,0.0019613549
315,315,0.0019569998
195,195,0.0019549306
128,128,0.0019411439
207,207,0.0019369258
432,432,0.0019148714
365,365,0.0019143238
322,322,0.0018905443
24,24,0.0018891945
265,265,0.0018829522
417,417,0.0018819926
334,334,0.0018748969
0,0,0.0018602412
85,85,0.0018551659
126,126,0.0018536468
4,4,0.001846846
232,232,0.0018420395
376,376,0.0018346108
333,333,0.0018218933
250,250,0.0018113112
169,169,0.0018011285
361,361,0.0017686478
25,25,0.0017465113
427,427,0.0017453731
461,461,0.0017188549
182,182,0.0017154247
11,11,0.0016988176
197,197,0.0016953972
20,20,0.0016696001
246,246,0.0016686992
339,339,0.0016661945
205,205,0.0016548207
177,177,0.0016535291
153,153,0.0016440097
356,356,0.0016337134
456,456,0.0016318822
42,42,0.0016255479
378,378,0.0016247402
155,155,0.0016181484
401,401,0.0016147293
16,16,0.001612585
30,30,0.0016062072
377,377,0.0015920534
385,385,0.0015913579
79,79,0.0015898152
135,135,0.0015849494
384,384,0.0015830033
338,338,0.0015758197
98,98,0.0015708887
21,21,0.0015523953
35,35,0.0015421407
364,364,0.0015421154
270,270,0.0015403415
447,447,0.0015402873
485,485,0.0015397645
121,121,0.0015270623
408,408,0.0015214243
32,32,0.0015187038
336,336,0.0014896884
413,413,0.0014843026
499,499,0.0014718628
487,487,0.0014659785
488,488,0.0014608143
122,122,0.0014533442
491,491,0.0014338568
54,54,0.001432836
363,363,0.0014307784
151,151,0.001427959
91,91,0.0014276047
314,314,0.0014251476
161,161,0.0014244247
211,211,0.0014210346
362,362,0.0014053485
216,216,0.0013955731
159,159,0.0013930433
233,233,0.0013912213
449,449,0.0013888216
48,48,0.0013732343
248,248,0.0013702087
299,299,0.0013695534
503,503,0.0013617459
1,1,0.0013607475
237,237,0.0013588071
57,57,0.0013579503
409,409,0.001355633
483,483,0.0013551097
229,229,0.001353437
19,19,0.0013416156
293,293,0.0013304886
390,390,0.0013271623
168,168,0.0013254886
381,381,0.0013072129
366,366,0.0013022809
288,288,0.0012966645
451,451,0.0012919087
244,244,0.0012890152
292,292,0.0012853605
463,463,0.0012843801
470,470,0.0012821403
416,416,0.0012795452
157,157,0.0012787202
464,464,0.0012758262
329,329,0.0012730482
490,490,0.0012670642
74,74,0.0012638838
170,170,0.001260051
278,278,0.0012583392
22,22,0.0012556936
399,399,0.0012530655
100,100,0.0012508945
355,355,0.001250555
486,486,0.0012472017
506,506,0.0012441961
459,459,0.0012374625
309,309,0.0012292771
113,113,0.0012270019
138,138,0.0012170793
47,47,0.0012084226
65,65,0.0012071957
198,198,0.001206154
196,196,0.001205836
285,285,0.0012046142
49,49,0.0012002704
457,457,0.0011999249
425,425,0.0011967781
175,175,0.0011944658
148,148,0.0011917639
86,86,0.0011908459
94,94,0.0011882967
501,501,0.0011801487
476,476,0.0011663077
156,156,0.0011636167
387,387,0.0011613253
266,266,0.0011546519
496,496,0.0011480699
340,340,0.0011474552
343,343,0.0011469066
52,52,0.0011451634
369,369,0.0011436169
90,90,0.0011377904
386,386,0.0011357777
96,96,0.0011343259
124,124,0.0011335325
460,460,0.0011268322
321,321,0.0011234696
264,264,0.0011168371
287,287,0.0011126697
353,353,0.0011116265
462,462,0.0011107579
154,154,0.0011100196
388,388,0.0011071602
448,448,0.0011041508
187,187,0.0010949599
328,328,0.0010922498
454,454,0.0010910842
306,306,0.0010906332
320,320,0.0010779172
391,391,0.0010766807
318,318,0.0010763333
107,107,0.0010709754
505,505,0.0010685796
206,206,0.0010629565
34,34,0.0010543949
473,473,0.0010541352
173,173,0.0010531493
109,109,0.0010509333
424,424,0.0010466026
430,430,0.0010448382
150,150,0.0010423292
268,268,0.001038994
2,2,0.0010353344
29,29,0.0010323756
504,504,0.0010309685
119,119,0.0010272656
174,174,0.0010258228
260,260,0.0010184883
249,249,0.0010175364
36,36,0.0010174246
137,137,0.001017379
303,303,0.0010154104
163,163,0.0010028904
455,455,0.0010002597
510,510,0.0009994362
245,245,0.00099766
262,262,0.0009885678
281,281,0.0009873835
28,28,0.0009856436
380,380,0.0009821856
228,228,0.0009717986
