,channel,strength
423,423,0.004408924
341,341,0.0032079767
379,379,0.0028457695
184,184,0.0028266357
368,368,0.0027224978
486,486,0.0025201144
313,313,0.0025118296
426,426,0.002334192
367,367,0.0022732853
213,213,0.0022067663
436,436,0.0021884514
308,308,0.0021619347
496,496,0.0020120202
393,393,0.001984407
422,422,0.0019403459
425,425,0.0018690284
511,511,0.0017944475
181,181,0.00178793
497,497,0.0016764585
361,361,0.0016183082
2,2,0.0015440682
267,267,0.0015391556
114,114,0.0015294778
170,170,0.001501581
432,432,0.001494758
385,385,0.0014706858
339,339,0.001420463
415,415,0.0013572118
116,116,0.0013073295
373,373,0.0013072236
453,453,0.0013039358
320,320,0.0012937128
256,256,0.0012766926
127,127,0.0012432956
75,75,0.0012031216
287,287,0.0011476731
309,309,0.001147382
456,456,0.0011466638
343,343,0.0011463353
457,457,0.0011426552
98,98,0.0011147967
437,437,0.0011112978
435,435,0.0010973605
182,182,0.0010894896
150,150,0.0010746964
279,279,0.0010726912
189,189,0.0010475953
9,9,0.001045001
371,371,0.001035062
53,53,0.0010211505
168,168,0.0010098461
146,146,0.0010040879
470,470,0.00097405957
69,69,0.00097038125
375,375,0.0009642161
134,134,0.00094965403
475,475,0.0009452465
125,125,0.0009439787
434,434,0.0009384095
288,288,0.0009309878
205,205,0.0009186115
128,128,0.0009111188
328,328,0.0008899651
319,319,0.0008791126
42,42,0.00087770226
458,458,0.0008629476
272,272,0.0008628456
414,414,0.00086089334
261,261,0.00085644424
304,304,0.00083918776
24,24,0.0008195494
161,161,0.0008154048
225,225,0.0008051095
67,67,0.0008038561
482,482,0.0007958309
430,430,0.0007924481
499,499,0.0007831592
390,390,0.00078276
11,11,0.00076811534
332,332,0.0007633267
197,197,0.0007563872
325,325,0.00074650464
322,322,0.00073741924
157,157,0.00071299827
93,93,0.00069571583
108,108,0.0006955461
185,185,0.00068194594
115,115,0.0006798201
80,80,0.0006779811
405,405,0.00067563757
450,450,0.00067155104
105,105,0.00065722043
57,57,0.00065079477
36,36,0.0006450097
454,454,0.0006430749
247,247,0.0006401138
8,8,0.00063832046
102,102,0.0006370239
316,316,0.0006331501
488,488,0.00062760746
364,364,0.0006171263
389,389,0.00060887367
172,172,0.0006087077
352,352,0.00060442963
463,463,0.0006023239
19,19,0.00060143415
